priority,offset_s,latency_ms,status,outcome
high,18.8512,11506.42,200,ok
medium,21.4178,8946.28,200,ok
low,3.2520,27117.81,200,ok
low,3.6710,26700.53,200,ok
medium,22.5169,7854.68,429,shed
high,19.2654,11106.14,200,ok
high,19.8012,10579.44,200,ok
medium,22.6169,7792.24,429,shed
high,19.9509,10472.78,200,ok
high,22.3511,8073.29,429,shed
low,17.9214,12504.01,200,ok
low,21.1410,9323.73,429,shed
medium,22.3029,8171.16,429,shed
medium,22.7779,7708.97,429,shed
high,22.2510,8272.51,429,shed
high,22.6024,7933.91,429,shed
low,21.5057,9031.84,429,shed
low,17.9190,12618.59,200,ok
medium,19.3538,11184.79,200,ok
medium,19.9524,10586.78,429,shed
medium,22.3530,8194.77,429,shed
medium,20.4678,10081.61,429,shed
medium,20.5695,9979.87,429,shed
medium,21.0676,9482.25,429,shed
high,22.6514,7911.42,429,shed
medium,19.7017,10862.69,200,ok
low,17.9804,12589.78,200,ok
low,17.9312,12642.41,200,ok
medium,22.1027,8470.99,429,shed
medium,22.0527,8520.96,429,shed
medium,21.3677,9207.08,429,shed
medium,22.1529,8421.96,429,shed
low,18.0811,12501.95,200,ok
low,18.1402,12442.82,200,ok
low,18.0617,12521.39,200,ok
low,17.8557,12727.36,200,ok
medium,22.5854,7997.65,429,shed
low,4.4031,26192.12,200,ok
medium,22.2335,8363.64,429,shed
medium,22.5335,8063.64,429,shed
medium,22.2837,8313.44,429,shed
medium,22.4678,8129.98,429,shed
low,21.6312,8990.74,429,shed
low,18.0406,12581.43,200,ok
low,17.9709,12651.15,200,ok
low,13.7409,16883.04,200,ok
medium,22.4506,8176.19,429,shed
low,13.5422,17095.98,200,ok
high,22.8007,7837.42,429,shed
high,19.1502,11488.59,200,ok
low,4.3407,26298.55,200,ok
low,4.2410,26401.80,200,ok
medium,22.7773,7865.50,429,shed
medium,22.5676,8076.98,429,shed
medium,22.6533,7991.37,429,shed
low,20.0406,10603.99,429,shed
medium,22.5529,8097.42,429,shed
